2,1,0,0,163,539,-1,-1,-1,-1
2,2,177,119,65,192,-1,-1,-1,-1
2,3,434,51,115,378,-1,-1,-1,-1
2,4,260,120,52,187,-1,-1,-1,-1
3,1,0,0,152,539,-1,-1,-1,-1
3,2,170,117,65,195,-1,-1,-1,-1
3,3,434,51,113,376,-1,-1,-1,-1
3,4,254,118,54,195,-1,-1,-1,-1
4,1,0,0,139,539,-1,-1,-1,-1
4,2,165,117,65,194,-1,-1,-1,-1
4,3,434,50,112,376,-1,-1,-1,-1
4,4,249,117,55,199,-1,-1,-1,-1
4,5,520,97,42,255,-1,-1,-1,-1
5,1,0,0,133,539,-1,-1,-1,-1
5,2,161,119,66,200,-1,-1,-1,-1
5,3,432,47,111,381,-1,-1,-1,-1
5,4,244,118,56,204,-1,-1,-1,-1
5,5,513,89,45,271,-1,-1,-1,-1
6,2,157,119,67,207,-1,-1,-1,-1
6,3,430,46,111,384,-1,-1,-1,-1
6,4,241,120,55,203,-1,-1,-1,-1
6,5,511,85,45,274,-1,-1,-1,-1
7,2,155,119,69,215,-1,-1,-1,-1
7,3,429,48,110,384,-1,-1,-1,-1
7,4,238,118,57,211,-1,-1,-1,-1
7,5,508,82,46,281,-1,-1,-1,-1
8,2,151,117,73,230,-1,-1,-1,-1
8,3,428,46,110,389,-1,-1,-1,-1
8,4,237,120,58,213,-1,-1,-1,-1
8,5,511,98,40,246,-1,-1,-1,-1
9,2,149,117,76,239,-1,-1,-1,-1
9,3,423,51,108,385,-1,-1,-1,-1
9,4,237,124,58,208,-1,-1,-1,-1
9,5,511,109,38,232,-1,-1,-1,-1
10,2,155,118,77,243,-1,-1,-1,-1
10,3,429,55,105,380,-1,-1,-1,-1
10,4,241,117,65,234,-1,-1,-1,-1
10,5,518,110,41,247,-1,-1,-1,-1
11,2,163,123,75,239,-1,-1,-1,-1
11,3,435,56,103,378,-1,-1,-1,-1
11,4,250,118,66,242,-1,-1,-1,-1
11,5,526,108,43,256,-1,-1,-1,-1
12,2,179,131,75,234,-1,-1,-1,-1
12,3,441,54,104,385,-1,-1,-1,-1
12,4,265,129,64,231,-1,-1,-1,-1
12,5,536,107,45,260,-1,-1,-1,-1
